stop_id,stop_code,name,name_he,lat,lng,n_lines,n_allday_lines
48608,36582,Nof HaYarkon/Ramatayim Road,נוף הירקון/ דרך רמתיים,32.134913,34.898031,15,1
21596,33442,Pikud Ha'oref Camp,מחנה פיקוד העורף,31.921010,34.876663,15,1
2573,41704,Ruppin/Kani'el,רופין/קניאל,32.798871,35.001669,15,1
16582,32664,Sibel Park/Exit to Road 5,פארק סיבל/יציאה לכביש 5,32.108854,34.961605,15,1
24848,37777,Sokolov/Anielewicz,סוקולוב/אנצילביץ',32.166859,34.901578,15,1
22072,34027,Sokolov/Katznelson,סוקולוב/כצנלסון,31.956383,34.895194,15,1
50259,37022,Sokolov/Shamir,סוקולוב/שמיר,32.168751,34.901186,15,1
1627,40735,Swimming Pool/Al-Quds,בריכת שחייה/אלקודס,32.407351,35.048131,15,1
23293,35372,Tal School/Menachem Begin Road,בית ספר טל/דרך מנחם בגין,32.097739,34.959295,15,1
1198,40216,Tamar/HaTe’ena,תמר/התאנה,32.499955,34.924795,15,1
4655,55234,Tawfiq Zayyad/Road 75,כביש 75/תאופיק זיאד,32.693386,35.298698,15,1
4805,55418,Tel Adashim Intersection,מסעף תל עדשים,32.655277,35.292081,15,1
4971,55642,Wadi al-Haj/Khallet a-Deir,ואדי אל-חאג'/ח'לת א-דיר,32.689986,35.297590,15,1
2158,41275,Yad LaBanim/HaGiborim,יד לבנים/הגיבורים,32.801056,35.010974,15,1
2159,41276,Yad LaBanim/HaYarden,יד לבנים/הירדן,32.799319,35.012675,15,1
43771,35250,Yahad Shivte Israel Blvd/HaRav Elyashiv,שדרות יחד שבטי ישראל/הרב אלישיב,31.935040,34.896984,15,1
43768,35253,Yahad Shivte Israel Blvd/HaRav Ovadya Yosef,שדרות יחד שבטי ישראל/הרב עובדיה יוסף,31.940704,34.899877,15,1
43770,35251,Yahad Shivte Israel Blvd/HaRav Ovadya Yosef,שדרות יחד שבטי ישראל/הרב עובדיה יוסף,31.940210,34.899766,15,1
42664,32974,Yahad Shivte Israel Blvd/Shevet Yehuda,שדרות יחד שבטי ישראל/שבט יהודה,31.937309,34.898078,15,1
43773,35247,Yahad Shivte Israel Blvd/Shevet Yehuda,שדרות יחד שבטי ישראל/שבט יהודה,31.937508,34.897959,15,1
9498,1428,Yam Suf/Sha'ul HaMelekh,ים סוף/שאול המלך,31.800384,35.220616,15,1
14707,30196,Yanai Interchange Southwards,מחלף ינאי לדרום,32.385727,34.866537,15,1
26813,14236,Yerushalayim/Shim'on,ירושלים/שמעון,31.259540,35.209876,15,1
52198,3554,Yoshiyahu/Shaul Hamelech,יאשיהו/שאול המלך,31.264653,35.211491,15,1
26819,14256,Youth Center/Yoshiyahu,מרכז צעירים/יאשיהו,31.263722,35.213534,15,1
3914,43052,Zevulun/Lilienblum,זבולון/לילנבלום,32.804270,35.097032,15,1
2373,41503,דרך עכו חיפה/רפא''ל,דרך עכו חיפה/רפא''ל,32.865022,35.095138,15,1
25352,38452,HaKomemiyut Rail Station,ת. רכבת הקוממיות,32.001476,34.759530,14,12
38940,20036,Jabotinsky Road/Herzl,דרך ז'בוטינסקי/הרצל,32.089000,34.816021,14,12
13101,21470,דרך ז'בוטינסקי/רש''י,דרך ז'בוטינסקי/רש''י,32.089649,34.818457,14,12
23998,36207,Balfour/Jabotinsky,בלפור/ז'בוטינסקי,32.020498,34.745431,14,11
22430,34401,Eged Parking/Hurshat Hayovel,חניון אגד/חורשת היובל,31.998722,34.763544,14,11
25353,38453,Komemiyut Train Station,תחנת רכבת קוממיות,32.001109,34.760742,14,11
9433,1150,Yehezkel/Rabenu Gershom,יחזקאל/רבנו גרשום,31.791156,35.219798,14,11
43294,20337,Ed Koch/Alfred Doblin‏,אד' קוץ/אלפרדו דבלין,32.037461,34.757416,14,10
24158,36395,HaLohamim/Tel Giborim,הלוחמים/תל גיבורים,32.035433,34.767471,14,10
13143,21544,Court House/Sha'ul HaMelekh Blvd,בית המשפט/שד' שאול המלך,32.076736,34.787868,14,9
12890,21140,Tel Aviv Savidor Train Station/Al Parashat Drachim,ת. רכבת תל אביב סבידור/על פרשת דרכים,32.082162,34.795464,14,9
51270,20873,המסגר/ריב''ל,המסגר/ריב''ל,32.062708,34.784975,14,9
12829,21031,HaShalom Road/Yitshak Rabin Road,דרך השלום/דרך יצחק רבין,32.065604,34.802729,14,8
